mnemonic	summary	kind	standard_status	in_anno	in_ydb	ansi_code	anno_section	ydb_section	conflict_id	notes
ASSERT	Assert failed in xxxx line yyyy for expression zzzz	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ASSERT		
ASYNCIONOMM	Database file ffffssss cannot cccc	Error	ydb-extension	false	true			MessageRecovery/errors.rst#ASYNCIONOMM		
AUDCONNFAIL	Audit XXXX facility failed to connect to audit logger	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AUDCONNFAIL		
AUDINITFAIL	Audit XXXX facility failed to initialize audit information	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AUDINITFAIL		
AUDLOGFAIL	Audit XXXX facility failed to log command	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AUDLOGFAIL		
AUTODBCREFAIL	Automatic creation of database file DDDD associated with region RRRR failed; see associated messages for details	Error	ydb-extension	false	true			MessageRecovery/errors.rst#AUTODBCREFAIL		
BACKUPCTRL	Control Y or control C encountered during backup, aborting backup	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPCTRL		
BACKUPDBFILE	DB file dddd backed up in file bbbb	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPDBFILE		
BACKUPFAIL	MUPIP cannot start backup with the above errors	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPFAIL		
BACKUPKILLIP	Kill in progress indicator is set for file ffff, backup database could have incorrectly marked busy integrity errors	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPKILLIP		
BACKUPREPL	Replication Instance file iiii backed up in file rrrr	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPREPL		
BACKUPSEQNO	Journal Seqnos up to hhhh are backed up	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPSEQNO		
BACKUPSUCCESS	Backup completed successfully	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPSUCCESS		
BACKUPTN	Transactions from bbbb to eeee are backed up	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BACKUPTN		
BADACCMTHD	Invalid access method was specified, file not created	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BADACCMTHD		
BADCASECODE	xxxx is not a valid case conversion code	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADCASECODE		
BADCHAR	$ZCHAR(XXX) is not a valid character in the YYY encoding form	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADCHAR		
BADCHSET	xxxx is not a valid character mapping in this context	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADCHSET		
BADCONNECTPARAM	Error parsing or invalid XXXX	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADCONNECTPARAM		
BADDBVER	Incorrect database version: xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADDBVER		
BADGBLSECVER	Global Section xxxx does not match the current database version	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADGBLSECVER		
BADGTMNETMSG	Invalid message sent to GT.CM server, type: xxxx	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADGTMNETMSG		
BADJPIPARAM	xxxx is not a legal parameter for $ZGETJPI()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADJPIPARAM		
BADLKIPARAM	xxxx is not a legal parameter for $ZGETLKI()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADLKIPARAM		
BADLOCKNEST	Unsupported nesting of LOCK commands	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADLOCKNEST		
BADPARAMCOUNT	-CONNECTPARAMS accepts one to six parameter values	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADPARAMCOUNT		
BADQUAL	Unrecognized qualifier: xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADQUAL		
BADREGION	Region is not BG, MM, or CM	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADREGION		
BADSRVRNETMSG	Invalid message received from GT.CM server	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADSRVRNETMSG		
BADSYIPARAM	xxxx is not a legal parameter for $ZGETSYI()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADSYIPARAM		
BADTRNPARAM	xxxx is not a legal parameter to $ZTRNLNM	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADTRNPARAM		
BADZPEEKARG	Missing, invalid or surplus xxxx parameter for $ZPEEK()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADZPEEKARG		
BADZPEEKFMT	$ZPEEK() value length inappropriate for selected format	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADZPEEKFMT		
BADZPEEKRANGE	Access exception raised in memory range given to $ZPEEK()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADZPEEKRANGE		
BADZYENZYDENEST	Unsupported nesting of ZYENCODE or ZYDECODE command	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BADZYENZYDENEST		
BCKUPBUFLUSH	Unable to flush buffer for online backup	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BCKUPBUFLUSH		
BEGINST	Beginning LOAD at record number: xxxx	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BEGINST		
BEGSEQGTENDSEQ	Journal file xxxx has beginning sequence number [aaaa] greater than end sequence number [bbbb]	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BEGSEQGTENDSEQ		
BFRQUALREQ	The [NO]BEFORE qualifier is required for this command	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BFRQUALREQ		
BITMAPSBAD	Database bit maps are incorrect	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BITMAPSBAD		
BKUPFILEPERM	Backup file dddd does not have write permission	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPFILEPERM		
BKUPPROGRESS	Transfer : cccc / tttt (pppp%) ; Speed : zzzz MiB/sec ; Transactions : nnnn ; Estimated time left : tt minutes	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPPROGRESS		
BKUPRETRY	Retrying MUPIP BACKUP for region: rrrr (database file: dddd). Attempt: #nnnn of mmmm	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPRETRY		
BKUPRUNNING	Process dddd is currently backing up region xxxx. Cannot start another backup.	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPRUNNING		
BKUPTMPFILOPEN	Open of backup temporary file aaaa failed	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPTMPFILOPEN		
BKUPTMPFILWRITE	Write to backup temporary file aaaa failed	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BKUPTMPFILWRITE		
BLKCNTEDITFAIL	Mupip recover or rollback failed to correct the block count field in the file header for file xxxx	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BLKCNTEDITFAIL		
BLKINVALID	bbbb is not a valid block as database file ffff has nnnn total blocks	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BLKINVALID		
BLKSIZ512	Block size xxxx rounds to yyyy	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BLKSIZ512		
BLKTOODEEP	Block level too deep	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BLKTOODEEP		
BOMMISMATCH	XXX Byte Order Marker found when YYY character set specified	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BOMMISMATCH		
BOOLEXPRTOODEEP	Boolean expression depth exceeds maximum supported limit of 2047	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BOOLEXPRTOODEEP		
BOOLSIDEFFECT	Extrinsic ($$), External call ($&) or $INCREMENT() with potential side effects in Boolean expression	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BOOLSIDEFFECT		
BOVTMGTEOVTM	Journal file xxxx has beginning timestamp [aaaa] greater than end timestamp [bbbb]	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BOVTMGTEOVTM		
BOVTNGTEOVTN	Journal file xxxx has beginning transaction [yyyy] which is greater than end transaction [zzzz]	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BOVTNGTEOVTN		
BREAK	Break instruction encountered	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BREAK		
BREAKDEA	Break instruction encountered during Device error action	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BREAKDEA		
BREAKZBA	Break instruction encountered during ZBREAK action	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BREAKZBA		
BREAKZST	Break instruction encountered during ZSTEP action	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BREAKZST		
BSIZTOOLARGE	bbbb Block larger than specified maximum size	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BSIZTOOLARGE		
BTFAIL	The database block table is corrupt; error type xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#BTFAIL		
BUFFLUFAILED	Error flushing buffers from uuuu for database file dddd	Error	ydb-extension	false	true			MessageRecovery/errors.rst#BUFFLUFAILED		
BUFFSIZETOOSMALL	TCP xxxx buffer size passed to yyyy smaller than minimum size of zzzz.	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BUFFSIZETOOSMALL		
BUFOWNERSTUCK	Pid xxxx waiting for Pid yyyy to finish disk-read of block zzzz aaaa. Been waiting for bbbb minutes. read_in_progress=cccc : rip_latch = dddd.	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BUFOWNERSTUCK		
BUFRDTIMEOUT	Pid xxxx timed out waiting for buffered read of blk yyyy into cr zzzz by process aaaa to complete in database file bbbb	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BUFRDTIMEOUT		
BUFSIZIS	Journal Buffer size is xxxx	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BUFSIZIS		
BUFSPCDELAY	Request for bbbb blocks in region rrrr delayed	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#BUFSPCDELAY		
BUFTOOSMALL	But block size xxxx requires buffer size yyyy	Information	ydb-extension	false	true			MessageRecovery/errors.rst#BUFTOOSMALL		
CALLERID	Routine xxxx called from yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CALLERID		
CALLINAFTERXIT	After a ydb_exit(), a process cannot create a valid YottaDB context	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CALLINAFTERXIT		
CALLINTCOMMIT	TCOMMIT at call-in-level=xxxx not allowed as corresponding TSTART was done at lower call-in-level=yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CALLINTCOMMIT		
CALLINTROLLBACK	TROLLBACK at call-in-level=xxxx not allowed as corresponding TSTART was done at lower call-in-level=yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CALLINTROLLBACK		
CANTBITMAP	Can't perform this operation on a bit map (block at a 200 hexadecimal boundary)	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CANTBITMAP		
CEBIGSKIP	Compiler escape user routine skip count is too large	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CEBIGSKIP		
CENOINDIR	Indirection type information not available for compiler escape feature	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CENOINDIR		
CETOOLONG	Compiler escape substitution exceeds maximum line size	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CETOOLONG		
CETOOMANY	Too many compiler escape substitutions in a single statement	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CETOOMANY		
CEUSRERROR	Compiler escape user routine returned error code xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CEUSRERROR		
CHANGELOGINTERVAL	ssss Server is now logging to ffff every IIII transactions	Information	ydb-extension	false	true			MessageRecovery/errors.rst#CHANGELOGINTERVAL		
CHNGTPRSLVTM	Mupip will change tp_resolve_time from xxxx to yyyy because expected EPOCH or EOF record was not found in Journal File zzzz	Information	ydb-extension	false	true			MessageRecovery/errors.rst#CHNGTPRSLVTM		
CHSETALREADY	Socket device already contains sockets with iCHSET=xxxx, oCHSET=xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CHSETALREADY		
CIDIRECTIVE	Invalid directive parameter passing. Expected I, O or IO.	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIDIRECTIVE		
CIENTNAME	No label reference found for this entry in call-in table	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIENTNAME		
CIMAXLEVELS	Too many nested Call-ins. Nested resources exhausted at level xxxx.	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIMAXLEVELS		
CIMAXPARAM	Exceeded maximum number of parameters in the call-in table entry. An M routine cannot accept more than 32 parameters.	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIMAXPARAM		
CINOENTRY	No entry specified for xxxx in the call-in table yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CINOENTRY		
CIPARTYPE	Invalid type specification for O/IO directive - expected pointer type	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIPARTYPE		
CIRCALLNAME	Call-in routine name expected but not found	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIRCALLNAME		
CIRPARMNAME	Invalid parameter specification for call-in table	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIRPARMNAME		
CIRTNTYP	Invalid return type	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIRTNTYP		
CITABENV	Environment variable for call-in table xxxx not set	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CITABENV		
CITABOPN	Unable to open call-in table: xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CITABOPN		
CIUNTYPE	Unknown parameter type encountered	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CIUNTYPE		
CLIERR	xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CLIERR		
CLISTRTOOLONG	SSSS specified is BBBB bytes long which is greater than the allowed maximum of MMMM bytes	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CLISTRTOOLONG		
CLOSEFAIL	Error while closing file descriptor dddd	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CLOSEFAIL		
CLSTCONFLICT	Cluster conflict opening database file xxxx; could not secure access. Already open on node yyyy.	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CLSTCONFLICT		
CMD	Command expected but not found	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMD		
CMDERR	Error running command : cccc	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMDERR		
CMEXCDASTLM	Exceeded AST limit. Cannot open database.	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMEXCDASTLM		
CMICHECK	Internal CMI error. Report to your GT.M Support Channel.	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMICHECK		
CMINTQUE	Interlock failure accessing GT.CM server queue	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMINTQUE		
CMSYSSRV	Error doing system service, status:	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CMSYSSRV		
CNOTONSYS	Command is not supported by this operating system	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CNOTONSYS		
COLLARGLONG	Collation sequence nnn does not contain routines for long strings	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLLARGLONG		
COLLATIONUNDEF	Collation type xxxx is not defined	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLLATIONUNDEF		
COLLDATAEXISTS	Collation type cannot be changed while xxxxyyyy data exists	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLLDATAEXISTS		
COLLFNMISSING	Routine xxx is not found for collation sequence nnn	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLLFNMISSING		
COLLTYPVERSION	Collation type xxxx, version yyyy mismatch	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLLTYPVERSION		
COLON	Colon (:) expected in this context	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLON		
COLTRANSSTR2LONG	Output string after collation transformation is too long	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COLTRANSSTR2LONG		
COMMA	Comma expected in this context	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COMMA		
COMMAORRPAREXP	Comma or right parenthesis expected but not found	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COMMAORRPAREXP		
COMMENT	Comment line. Placed zbreak at next executable line.	Information	ydb-extension	false	true			MessageRecovery/errors.rst#COMMENT		
COMMFILTERERR	Error executing the command filter for FFFF. DDDD	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COMMFILTERERR		
COMMITWAITPID	Pid wwww waited tttt minute(s) for pid pppp to finish commits to block dddd in database file xxxx	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#COMMITWAITPID		
COMMITWAITSTUCK	Pid wwww waited tttt minute(s) for nnnn concurrent YottaDB process(es) to finish commits in database file dddd	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COMMITWAITSTUCK		
COMPILEQUALS	Error in compiler qualifiers: xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COMPILEQUALS		
CONNSOCKREQ	Socket not connected	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CONNSOCKREQ		
COREINPROGRESS	Previous core attempt failed; core generation bypassed	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#COREINPROGRESS		
CORRUPT	Corrupt input in Blk # xxxx, Key #yyyy; resuming with next global block	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#CORRUPT		
CORRUPTNODE	Corrupt input in Record #rrrr, Key #yyyy; resuming with next global node	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CORRUPTNODE		
CPBEYALLOC	Attempt to copy beyond the allocated buffer	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CPBEYALLOC		
CREDNOTPASSED	Socket message contained no passed credentials	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CREDNOTPASSED		
CRITRESET	The critical section crash count for region xxxx has been incremented	Fatal	ydb-extension	false	true			MessageRecovery/errors.rst#CRITRESET		
CRITSEMFAIL	Error with semaphores for region xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRITSEMFAIL		
CRYPTBADCONFIG	Could not retrieve data from encrypted file ffff due to bad encryption configuration. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTBADCONFIG		
CRYPTBADWRTPOS	Encrypted WRITE disallowed from a position different than where the last WRITE completed	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTBADWRTPOS		
CRYPTDLNOOPEN	Could not load encryption library while opening encrypted file ffff. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTDLNOOPEN		
CRYPTDLNOOPEN2	Could not load encryption library dddd. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTDLNOOPEN2		
CRYPTHASHGENFAILED	Could not generate cryptographic hash for symmetric key corresponding to file ffff. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTHASHGENFAILED		
CRYPTINIT	Could not initialize encryption library while opening encrypted file ffff. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTINIT		
CRYPTINIT2	Failed to initialize encryption library during YottaDB startup. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTINIT2		
CRYPTJNLMISMATCH	Encryption settings mismatch between journal file jjjj and corresponding database file dddd	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTJNLMISMATCH		
CRYPTKEYFETCHFAILED	Could not retrieve encryption key corresponding to file ffff. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTKEYFETCHFAILED		
CRYPTKEYFETCHFAILEDNF	Could not retrieve encryption key during xxxx operation key. yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTKEYFETCHFAILEDNF		
CRYPTKEYRELEASEFAILED	Could not safely release encryption key corresponding to file ffff. eeee	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTKEYRELEASEFAILED		
CRYPTKEYTOOBIG	Specified key has length xxxx, which is greater than the maximum allowed key length yyyy	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTKEYTOOBIG		
CRYPTNOAPPEND	APPEND disallowed on the encrypted file xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOAPPEND		
CRYPTNOKEY	No encryption key specified	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOKEY		
CRYPTNOKEYSPEC	Key name needs to be specified with KEY, IKEY, or OKEY device parameter for encrypted I/O	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOKEYSPEC		
CRYPTNOMM	ffff is an encrypted database. Cannot support MM access method.	Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOMM		
CRYPTNOOVERRIDE	Cannot override IVEC and/or key without compromising integrity	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOOVERRIDE		
CRYPTNOSEEK	SEEK disallowed on the encrypted file ffff	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOSEEK		
CRYPTNOTRUNC	Not positioned at file start or EOF. TRUNCATE disallowed on the encrypted file ffff	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTNOTRUNC		
CRYPTOPFAILED	Encrypt/Decrypt operation failed for file ffff. eeee	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CRYPTOPFAILED		
CTLMNEMAXLEN	The maximum length of a control mnemonic has been exceeded	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CTLMNEMAXLEN		
CTLMNEXPECTED	Control mnemonic is expected in this context	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CTLMNEXPECTED		
CTRAP	Character trap $C(xxxx) encountered	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CTRAP		
CTRLC	CTRL_C encountered	Information	ydb-extension	false	true			MessageRecovery/errors.rst#CTRLC		
CTRLY	User interrupt encountered	Information	ydb-extension	false	true			MessageRecovery/errors.rst#CTRLY		
CURRSOCKOFR	Current socket of index xxxx is out of range. There are only yyyy sockets.	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CURRSOCKOFR		
CUSTERRNOTFND	Error mnemonic eeee specified in custom errors file is not valid for this version of YottaDB	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CUSTERRNOTFND		
CUSTERRSYNTAX	Syntax error in file ffff at line number nnnn	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CUSTERRSYNTAX		
CUSTOMFILOPERR	Error while doing oooo operation on file ffff	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#CUSTOMFILOPERR		
DBADDRALIGN	Database file xxxx, element location aaaa: blk = bbbb: yyyy control cccc was unaligned relative to base dddd and element size eeee	Information	ydb-extension	false	true			MessageRecovery/errors.rst#DBADDRALIGN		
DBADDRANGE	Database file rrrr, element location aaaa: blk = xxxx: control vvvv was outside qqqq range bbbb to tttt	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#DBADDRANGE		
DBADDRANGE8	Database file rrrr element location aaaa: control vvvv was outside qqqq range bbbb to tttt	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#DBADDRANGE8		
DBBADFREEBLKCTR	Database xxxx free blocks counter in file header: oooo appears incorrect, should be nnnn. Auto-corrected.	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#DBBADFREEBLKCTR		
DBBADKYNM	xxxx Bad key name	Error	ydb-extension	false	true			MessageRecovery/errors.rst#DBBADKYNM		
DBBADNSUB	xxxx Bad numeric subscript	Error	ydb-extension	false	true			MessageRecovery/errors.rst#DBBADNSUB		
